Package,Built
assertthat,3.5.2
backports,3.5.2
base64enc,3.5.2
BH,3.5.2
bindr,3.5.2
bindrcpp,3.5.2
broom,3.5.2
callr,3.5.2
cellranger,3.5.2
cli,3.5.2
clipr,3.5.2
clisymbols,3.5.2
colorspace,3.5.2
crayon,3.5.2
crosstalk,3.5.2
curl,3.5.2
DBI,3.5.2
dbplyr,3.5.2
desc,3.5.2
digest,3.5.2
dplyr,3.5.2
evaluate,3.5.2
fansi,3.5.2
forcats,3.5.2
fs,3.5.2
generics,3.5.2
ggplot2,3.5.2
gh,3.5.2
git2r,3.5.2
glue,3.5.2
gridExtra,3.5.2
gtable,3.5.2
haven,3.5.2
here,3.5.2
highr,3.5.2
hms,3.5.2
htmltools,3.5.2
htmlwidgets,3.5.2
httpuv,3.5.2
httr,3.5.2
ini,3.5.2
jsonlite,3.5.2
knitr,3.5.2
labeling,3.5.2
later,3.5.2
lazyeval,3.5.2
leaflet,3.5.2
lubridate,3.5.2
magrittr,3.5.2
markdown,3.5.2
mime,3.5.2
modelr,3.5.2
munsell,3.5.2
openssl,3.5.2
pillar,3.5.2
pkgconfig,3.5.2
plogr,3.5.2
plyr,3.5.2
png,3.5.2
prettyunits,3.5.2
processx,3.5.2
progress,3.5.2
promises,3.5.2
ps,3.5.2
purrr,3.5.2
R6,3.5.2
raster,3.5.2
RColorBrewer,3.5.2
Rcpp,3.5.2
readr,3.5.2
readxl,3.5.2
rematch,3.5.2
reprex,3.5.2
reshape2,3.5.2
rlang,3.5.2
rmarkdown,3.5.2
rprojroot,3.5.2
rstudioapi,3.5.2
rvest,3.5.2
scales,3.5.2
selectr,3.5.2
shiny,3.5.2
shinydashboard,3.5.2
sourcetools,3.5.2
sp,3.5.2
stringi,3.5.2
stringr,3.5.2
tibble,3.5.2
tidyr,3.5.2
tidyselect,3.5.2
tidyverse,3.5.2
tinytex,3.5.2
usethis,3.5.2
utf8,3.5.2
viridis,3.5.2
viridisLite,3.5.2
whisker,3.5.2
withr,3.5.2
xfun,3.5.2
xml2,3.5.2
xtable,3.5.2
yaml,3.5.2
translations,3.5.2
